title,url,vcn
【纪录片】【古希腊瑰宝 3 漫长的阴影】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4283884,14000
【PBS】拯救小海獭【纪录片之家双语字幕】,https://www.bilibili.com/video/av3676166,14000
【纪录片】极致山野 险境生灵 之 落基山脉【720p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av16180056,13000
【探索频道】惊天工程 之 水下长鲸【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av13378861,13000
【探索频道】超级运输 第四集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av11715857,13000
【探索频道】变异星球第一集新西兰【1080p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av8518013,13000
【IMAX】恐龙再现 - 巴塔哥尼亚的巨兽【1080p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6333328,13000
【纪录片】了不起的动物遗孤第四集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5655876,13000
【国家地理】北欧野生风情录第四集终极幸存者【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5638953,13000
【纪录片】古罗马的瑰宝 第二集 盛观与堕落【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5078224,13000
野性斯里兰卡 第2集 双语字幕 纪录片之家字幕组,https://www.bilibili.com/video/av4325409,13000
【纪录片】 私家庄园揭秘 第六集 中英双语 纪录片之家字幕组,https://www.bilibili.com/video/av3923616,13000
【纪录片】私家庄园揭秘 第三集 中英双语 纪录片之家字幕组,https://www.bilibili.com/video/av3799575,13000
【纪录片】钓鱼城 天神折鞭之地【1080p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av23623877,12000
【探索频道】奥斯曼帝国与基督教世界 - 欧洲之战 第三集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av18098207,12000
【纪录片】艺术爱好者指南 之 圣彼得堡【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av16367645,12000
【探索频道】揭秘威斯敏斯特宫【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av11622444,12000
【探索频道】揭秘众神之颠【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av9945717,12000
【国家地理】希腊人 第二集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6454472,12000
【纪录片】非凡收藏家第一集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5511666,12000
【探索频道】昆虫王国 第一集 世界尽头的昆虫【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4850437,12000
 【国家地理】与摩根·弗里曼探寻神的故事 6 神迹之力【纪录片之家字幕组】,https://www.bilibili.com/video/av4710704,12000
【纪录片】生命博物馆 第一集 现代世界的博物馆【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4691776,12000
【纪录片】稚齿之担 中世纪儿童【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4680066,12000
【纪录片】和西蒙·里夫游希腊 2/2【中英特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4492090,12000
【纪录片】艾伦的花园秘密 17世纪【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4445334,12000
【纪录片】私家庄园揭秘 第五集 中英双语 纪录片之家字幕组,https://www.bilibili.com/video/av3905043,12000
【纪录片】私家庄园揭秘 第四集 中英双语 纪录片之家字幕组,https://www.bilibili.com/video/av3833882,12000
